pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
0,0,flowchart,2020-10-01 00:53:37.657877,2020-10-01 01:05:47.327447,,-,2,-,-,-,-,-,-,-,0,6,[1],[4],4.0,4.0,[-6],0.151,[0.151],[5.616]
1,0,flowchart,2020-09-30 22:12:04.984719,2020-09-30 22:16:10.428624,2020-09-30 22:19:26.051546,7.1,1,College degree,No,26,female,No,Trying to follow the flow chart to find the best route possible,,0,4,"[5, 1, 2, 1, 3, 4, 2, 2, 2, 1]","[5, 4, 8, 4, 2, 6, 8, 3, 13, 4]",57.0,5.7,"[5, 4, 28, -11, -3, 16, -7, -2, 3, -16]",0.4182,"[0.833, 0.182, 0.4, 0.0, 0.6, 0.8, 0.5, 0.5, 0.2, 0.167]","[0, 4.508, 3.0, 6.104, 2.0, 0, 2.0, 2.0, 3.0, 5.0]"
2,0,flowchart,2020-09-30 22:14:33.046833,2020-09-30 22:16:39.808723,2020-09-30 22:19:32.694222,4.9,1,High school graduate,No,20,female,Somewhat,Read the directions: Follow green,,0,4,"[12, 5, 12, 12, 11, 4, 4, 12, 12, 12]","[-7, 20, 13, -7, -1, 16, 6, 13, 3, 18]",74.0,7.4,"[-7, 20, 13, -7, -1, 16, 6, 13, 3, 18]",0.4303,"[0.462, 0.667, 0.231, 0.385, 0.25, 0.4, 0.6, 0.615, 0.385, 0.308]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,0,flowchart,2020-09-30 22:10:37.968333,2020-09-30 22:17:05.460238,2020-09-30 22:21:37.438888,10.6,1,High school graduate,No,31,female,Yes,If there was a best path you should click to see the best way to go if it is 10,,0,4,"[7, 3, 6, 7, 6, 6, 6, 6, 6, 5]","[18, 7, 14, 8, 9, 9, 24, 4, 24, 10]",127.0,12.7,"[18, -13, 14, 8, 9, 9, 24, 4, 24, 0]",0.5898,"[0.4, 0.143, 0.857, 0.5, 0.571, 0.714, 0.571, 0.571, 0.571, 1.0]","[3.0, 4.0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,0,flowchart,2020-09-30 22:14:04.890091,2020-09-30 22:20:51.310837,2020-09-30 22:30:08.574929,15.8,1,College degree,No,28,Female,"I'm not sure. I followed the flow chart, but was still confused at some of the strategy","I think that they were using the flow chart to enhance the power of deduction. If your path already had -10 for instance, it was not worth wasting the money to click on the nodes.",,0,4,"[9, 10, 7, 9, 8, 9, 7, 12, 6, 6]","[11, -5, 3, 1, -8, 1, 8, -22, 19, -1]",7.0,0.7,"[11, -5, 3, 1, -8, 1, 8, -22, 19, -1]",0.6277,"[0.8, 0.273, 0.875, 0.5, 0.778, 0.5, 0.625, 0.769, 0.3, 0.857]","[0, 0, 0, 0, 0, 0, 0, 0, 4.0, 0]"
5,0,flowchart,2020-09-30 22:17:02.080085,2020-09-30 22:22:24.924139,2020-09-30 22:28:13.657627,11.0,1,College degree,No,51,Male,"I think so, although it took me a couple of trials to fully realize it.  There were clicks that I didn't need to make at first that I was. ",You should click on enough first level tree nodes to find the best bath.  Then you only need to click to find the right path for level 3.,Thanks.  That was fun. ,0,4,"[3, 4, 4, 2, 2, 4, 3, 5, 4, 4]","[17, 11, 6, 8, 3, 6, 2, 10, 1, 1]",65.0,6.5,"[12, 21, 6, 23, 3, 6, 2, 5, -19, 1]",0.4813,"[1.0, 0.6, 0.6, 0.5, 0.2, 0.6, 0.333, 0.5, 0.2, 0.28]","[0, 0, 0, 2.0, 3.0, 0, 3.0, 0, 6.016, 3.146]"
6,0,flowchart,2020-09-30 22:15:01.311236,2020-09-30 22:24:47.943791,2020-09-30 22:34:27.353743,18.9,2,High school graduate,No,35,male,Yes,"Using the flow chart for guidance, you have to decide whether to click the node or not to reveal the best path with the greatest reward.",,0,4,"[4, 4, 7, 4, 4, 5, 4, 4, 12, 2]","[16, 16, 3, 11, 1, 5, 16, 1, -7, 18]",80.0,8.0,"[11, 11, 13, 21, -14, 10, 26, 16, -7, 23]",0.4381,"[0.333, 0.5, 0.3, 0.333, 0.167, 0.833, 0.667, 0.286, 0.462, 0.5]","[2.0, 2.0, 3.0, 2.0, 2.0, 0, 2.0, 3.0, 0, 2.0]"
7,0,flowchart,2020-09-30 22:23:00.064284,2020-09-30 22:27:02.19074,2020-09-30 22:32:49.49396,9.5,1,College degree,No,23,F,Kind of,Follow the green path ,Very confusing to follow,1,4,"[0, 3, 3, 3, 3, 3, 3, 1, 1, 1]","[0, 7, 7, 2, 2, 7, 7, 4, 9, 4]",49.0,4.9,"[10, -8, 22, 2, -18, 7, 22, -6, 4, 4]",0.2656,"[0.0, 0.5, 0.167, 0.429, 0.6, 0.2, 0.167, 0.143, 0.25, 0.2]","[4.845, 3.0, 3.0, 4.0, 2.0, 7.0, 3.0, 5.989, 3.0, 4.0]"
8,0,flowchart,2020-09-30 22:22:57.377666,2020-09-30 22:27:58.550907,2020-09-30 22:31:15.056281,8.1,3,High school graduate,Yes,19,Male,"Kind of, it was somewhat confusing.",Follow the strategy that seems the best but sometimes you have to make a judgement call.,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[10, 0, 0, 0, -10, 5, 15, -30, 10, 5]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.37, 7.0, 6.168, 5.673, 6.705, 5.846, 4.061, 5.449, 4.704, 4.281]"
9,0,flowchart,2020-09-30 22:28:48.366838,2020-09-30 22:33:59.204557,2020-09-30 22:39:12.083603,9.9,1,College degree,No,31,Female,Yes! The instructions were clear and I was able to understand the strategy,Use the available help to determine the best route,Thanks! I enjoyed participating!,0,4,"[8, 6, 8, 7, 7, 5, 2, 6, 5, 5]","[12, 14, 2, 18, -2, 10, 13, 9, 5, 0]",81.0,8.1,"[2, 14, 2, 3, -2, 10, 3, 4, 0, 5]",0.5105,"[0.444, 0.571, 0.333, 0.4, 0.5, 0.833, 0.5, 0.571, 0.286, 0.667]","[0, 0, 0, 3.0, 0, 0, 2.0, 0, 2.0, 0]"
