pid,trial,task,numberClicks,clicks,score,FSQ,CA,status,dropoutIndex,condition,conditionType,age,gender,naive,feedback,totalTime,firstBlock,exclusion,RT_attemptsQuiz,MG_attemptsQuiz
0,0,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
0,1,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
0,2,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
0,3,mortgage,3,"[0, 4, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
0,4,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
0,5,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
0,6,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
0,7,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,30,female,False,,12.9,mortgage,True,1,1
1,0,mortgage,0,[],0,0.0,0.0,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
1,1,mortgage,3,"[3, 7, 0]",1,0.0,0.0,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
1,2,mortgage,0,[],0,0.0,0.0,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
1,3,mortgage,0,[],1,0.0,0.0,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
1,4,mortgage,0,[],0,0.0,0.0,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
1,5,mortgage,0,[],0,0.0,0.0,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
1,6,mortgage,0,[],1,0.0,0.0,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
1,7,mortgage,3,"[3, 4, 5]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,56,male,False,None,28.3,mortgage,True,2,2
2,0,mortgage,3,"[1, 3, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,41,female,False,cool games,26.4,mortgage,True,1,3
