pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
0,0,flowchart,2020-09-23 16:17:06.722939,2020-09-23 16:20:39.203154,,-,1,-,-,-,-,-,-,-,0,6,[],[],0.0,,[],,[],[]
1,0,flowchart,2020-09-23 16:07:04.273675,2020-09-23 16:14:01.115184,2020-09-23 16:19:46.762834,12.3,1,College degree,No,31,Male,"I think so, it seemed to work really well based on my understanding of what to do.","I would tell them that the best course of action is to start at the top level and work your way down. Once you uncover a 48, it is safe to choose that path to move the monkey through the tree. ",I really enjoyed this study and found it both challenging and fun at the same time. Everything ran smoothly. ,0,4,"[12, 10, 5, 2, 1, 1, 5, 5, 12, 1]","[10, 26, 45, 46, 47, 47, 43, 43, 14, 47]",368.0,36.8,"[10, 26, 49, 48, 43, 41, 39, 31, 14, 55]",0.7592,"[0.385, 0.538, 0.4, 0.667, 1.0, 1.0, 0.833, 1.0, 0.769, 1.0]","[0, 3.0, 2.501, 0, 0, 0, 0, 0, 0, 0]"
2,0,flowchart,2020-09-23 16:11:43.659499,2020-09-23 16:15:29.122329,2020-09-23 16:19:01.939426,6.9,1,College degree,No,31,female,no it did not make sense,I would just tell them to click randomly,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-36, -54, -18, -54, -54, -30, -56, -30, 52, 30]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.314, 2.797, 2.702, 4.479, 2.783, 2.744, 3.414, 2.382, 2.728, 2.158]"
3,0,flowchart,2020-09-23 16:07:22.506077,2020-09-23 16:17:35.32605,2020-09-23 16:22:22.053401,14.5,2,High school graduate,No,38,Female,Kind of ,Click on the nodes and reveal the most lucrative path to cash. ,Very interesting ,0,4,"[12, 5, 9, 5, 6, 6, 6, 3, 4, 7]","[26, 47, 47, 43, 42, 42, 42, 45, 44, 21]",399.0,39.9,"[26, 43, 43, 51, 46, 48, 42, 39, 48, 29]",0.6075,"[0.462, 0.5, 0.5, 0.154, 0.857, 0.857, 0.714, 1.0, 0.8, 0.231]","[0, 0, 0, 8.0, 0, 0, 0, 0, 0, 6.0]"
4,0,flowchart,2020-09-23 16:07:05.716785,2020-09-23 16:18:01.607696,2020-09-23 16:27:12.158349,19.8,1,High school graduate,No,28,female,"Near the end, I think I slowly started to understand it fully.","If the it's not the highest number, keep clicking until you find 48.",Thank you for allowing me to participate! It was interesting! ,1,4,"[5, 0, 5, 3, 3, 10, 12, 12, 12, 12]","[55, 0, 49, 41, 1, 42, 36, 42, 36, 42]",344.0,34.4,"[55, 20, 49, 41, -19, 42, 36, 42, 36, 42]",0.2762,"[0.333, 0.0, 0.333, 0.5, 0.0, 0.364, 0.308, 0.385, 0.308, 0.231]","[0, 2.204, 0, 0, 2.722, 0, 0, 0, 0, 0]"
5,0,flowchart,2020-09-23 15:55:33.797678,2020-09-23 16:18:15.249123,2020-09-23 16:23:16.789201,27.5,2,High school graduate,No,66,Female,I thought I was following the strategy but it was hard to understand.,I didn't quite understand it myself so would be hard to describe to a friend.,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[20, -12, 18, -18, 48, 24, -60, 42, -18, -46]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.16, 3.334, 2.751, 2.773, 2.167, 2.415, 3.323, 2.378, 3.344, 3.299]"
6,0,flowchart,2020-09-23 16:10:16.993245,2020-09-23 16:18:40.812883,2020-09-23 16:22:34.701641,11.9,2,High school graduate,No,43,female,yes i think so,start at the top until you find the 48 and then work down,,0,4,"[7, 5, 5, 7, 8, 9, 7, 8, 7, 3]","[47, 1, 7, 51, 46, 33, 41, 34, 17, 45]",322.0,32.2,"[47, 49, -41, 51, 46, 33, 41, 34, 17, 39]",0.2248,"[0.25, 0.143, 0.112, 0.25, 0.333, 0.4, 0.25, 0.222, 0.1, 0.188]","[0, 2.0, 3.93, 0, 0, 0, 0, 0, 2.99, 2.32]"
7,0,flowchart,2020-09-23 16:14:11.761376,2020-09-23 16:20:38.837228,2020-09-23 16:26:18.37698,11.8,1,College degree,No,51,female,"For the most part, I think I did, yes.","So, you would click on one of the gray dots that you hadn't clicked on at the highest level. Once you find the ""48"", you can stop clicking and follow the path to that dot.",,0,4,"[6, 4, 5, 5, 5, 3, 6, 5, 3, 5]","[42, 46, 39, 49, 19, 45, 42, 43, 45, 43]",413.0,41.3,"[52, 50, 39, 49, 19, 39, 44, 39, 53, 55]",0.4659,"[0.154, 0.318, 0.372, 0.136, 0.25, 0.75, 0.429, 0.667, 0.75, 0.833]","[7.0, 2.298, 3.063, 2.347, 2.996, 0, 0, 0, 0, 0]"
8,0,flowchart,2020-09-23 16:10:09.699462,2020-09-23 16:20:50.178102,2020-09-23 16:36:45.776329,26.3,1,College degree,No,51,Male,Yes,"Click each node on the highest level of the tree, in any order, until a green ""48"" is revealed. When it appears, stop clicking and use the arrow keys to navigate the monkey up to the green 48.",fun exercise,0,4,"[6, 4, 2, 3, 2, 1, 4, 2, 5, 12]","[42, 44, 46, 45, 46, 47, 44, 46, 43, 18]",421.0,42.1,"[42, 52, 52, 47, 52, 51, 44, 36, 43, 18]",0.8523,"[0.571, 0.8, 1.0, 0.75, 1.0, 1.0, 0.8, 1.0, 0.833, 0.769]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,0,flowchart,2020-09-23 16:08:24.867621,2020-09-23 16:13:24.478687,2020-09-23 16:18:58.673387,10.3,1,College degree,Yes,31,female,"Kind of, I understand I was only supposed to click on the highest row, but I don't know that I understood the 48 part correctly. I assumed it meant the path ending in 48 was best",Click on all the highest row nodes until. you find 48 then follow the path to it,,0,4,"[12, 2, 1, 2, 5, 1, 1, 4, 4, 5]","[10, 46, 47, 46, 43, 47, 47, 44, 44, 43]",417.0,41.7,"[10, 40, 41, 52, 49, 51, 41, 40, 48, 43]",0.8851,"[0.385, 1.0, 1.0, 1.0, 0.833, 1.0, 1.0, 0.8, 1.0, 0.833]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
