pid,condition,conditionType,status,totalTime,attemptsQuiz1,gender,age,MLcheatTrials,RTscores,RTscoresMean,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
0,0,control,3,39.2,6,female,32,0,"[305, 190, 375, 195, 225, 350, 300, 265]",275.625,,[],0.7917,"[0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.8333,0.6667
1,0,control,3,49.4,1,Female,36,0,"[360, 255, 445, 575, 530, 210, 335, 375]",385.625,,[],0.4375,"[0.0, 0.6666666666666666, 1.0, 0.0, 0.0, 0.5, 0.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.0
2,0,control,3,18.0,2,Female,34,0,"[260, 185, 260, 305, 390, 265, 250, 175]",261.25,,[],0.9375,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
3,0,control,4,20.5,3,Female,22,0,"[525, 155, 185, 255, 150, 365, 455, 325]",301.875,,[],0.5,"[0.0, 0.0, 0.0, 1.0, 0.5, 1.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
4,0,control,4,14.3,1,Male,28,0,"[235, 280, 470, 230, 260, 210, 285, 275]",280.625,,[],0.4062,"[0.0, 0.0, 0.25, 0.0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0625,0.0
5,0,control,4,21.9,1,Male,39,0,"[395, 395, 280, 380, 215, 530, 215, 335]",343.125,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
6,0,control,4,15.5,1,Male,41,0,"[295, 400, 370, 560, 300, 155, 230, 215]",315.625,,[],0.75,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
7,0,control,4,16.6,4,Male,21 years old,0,"[320, 375, 405, 275, 375, 505, 230, 605]",386.25,,[],0.1667,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,1.0
8,0,control,4,18.0,1,Male,19,0,"[270, 320, 375, 405, 180, 230, 315, 270]",295.625,,[],0.8333,"[0.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6667,0.0
9,0,control,4,23.3,2,female,40,0,"[205, 280, 235, 370, 340, 190, 280, 225]",265.625,,[],0.5208,"[0.3333333333333333, 0.0, 0.6666666666666666, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.3333
10,0,control,4,17.9,1,FEMALE,32,0,"[450, 290, 190, 380, 275, 380, 260, 465]",336.25,,[],0.625,"[0.5, 0.6666666666666666, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.5
11,0,control,4,19.5,2,Male,44,0,"[400, 260, 340, 310, 480, 460, 285, 195]",341.25,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
12,0,control,4,29.0,2,Male,32,0,"[535, 275, 235, 440, 175, 230, 495, 225]",326.25,,[],0.4167,"[0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
13,0,control,4,18.8,2,Female,30,0,"[465, 510, 540, 335, 165, 185, 280, 460]",367.5,,[],0.5625,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
14,0,control,4,22.5,2,Female,27,0,"[520, 360, 220, 465, 295, 420, 490, 260]",378.75,,[],0.4375,"[0.0, 0.6666666666666666, 0.5, 0.3333333333333333, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
15,0,control,4,18.5,1,male,32,0,"[275, 195, 220, 300, 250, 165, 230, 230]",233.125,,[],0.8333,"[1.0, 1.0, 0.5, 1.0, 0.6666666666666666, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,1.0
16,0,control,4,36.6,1,FEMALE,30,0,"[235, 280, 525, 545, 475, 280, 280, 285]",363.125,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
17,0,control,4,23.4,3,female,50,0,"[290, 230, 255, 315, 480, 455, 425, 350]",350.0,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
18,0,control,4,23.5,3,Female,29,0,"[310, 410, 475, 365, 515, 165, 225, 290]",344.375,,[],0.2083,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.6666666666666666]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
19,0,control,4,16.1,1,Male,27,0,"[510, 355, 185, 440, 545, 415, 180, 485]",389.375,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
20,0,control,4,13.3,1,Male,30,0,"[520, 220, 240, 245, 265, 215, 360, 185]",281.25,,[],0.4792,"[0.0, 0.5, 0.0, 0.5, 0.3333333333333333, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
21,0,control,4,22.1,3,Female,26,0,"[260, 285, 275, 345, 340, 455, 205, 185]",293.75,,[],0.7083,"[0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.3333
22,0,control,4,25.2,3,Female,29,0,"[230, 230, 360, 235, 160, 240, 410, 220]",260.625,,[],0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
