pid,condition,conditionType,status,bonus,timeTracking,totalTime,attemptsQuiz1,gender,age,qConfusing,qFollowStrategy,feedback,MLcheatTrials,MLclicksNumber,RTcheatTrials,RTclicksNumber,RTclicksNumberMean,RTscores,RTscoresMean,RTscoresExp,RTscoresExpMean,prompts,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
0,0,control,3,1.79,"[23.2, 38.8]",39.2,6,female,32,No,-,,0,[],0,"[3, 3, 4, 2, 2, 3, 2, 2]",2.625,"""[305, 190, 375, 195, 225, 350, 300, 265]""",275.625,"[342.5, 197.5, 330, 195, 232.5, 342.5, 420, 332.5]",299.0625,[],,[],0.7917,"[0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.8333,0.6667
1,0,control,3,1.02,"[16.4, 49.3]",49.4,1,Female,36,No,-,,0,[],0,"[10, 5, 7, 7, 8, 5, 6, 4]",6.5,"""[360, 255, 445, 575, 530, 210, 335, 375]""",385.625,"[360, 255, 445, 575, 530, 210, 335, 382.5]",386.5625,[],,[],0.4375,"[0.0, 0.6666666666666666, 1.0, 0.0, 0.0, 0.5, 0.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.0
2,0,control,3,1.91,"[9.6, 17.8]",18.0,2,Female,34,No,-,No,0,[],0,"[4, 4, 4, 4, 3, 3, 3, 3]",3.5,"""[260, 185, 260, 305, 390, 265, 250, 175]""",261.25,"[245, 215, 245, 282.5, 405, 242.5, 242.5, 205]",260.3125,[],,[],0.9375,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
3,0,control,4,1.61,"[10.2, 20.4]",20.5,3,Female,22,Did not make it clear on how to select the route,-,,0,[],0,"[2, 1, 1, 2, 2, 3, 2, 2]",1.875,"""[525, 155, 185, 255, 150, 365, 455, 325]""",301.875,"[375, 327.5, 350, 270, 172.5, 350, 410, 370]",328.125,[],,[],0.5,"[0.0, 0.0, 0.0, 1.0, 0.5, 1.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
4,0,control,4,1.76,"[7.6, 14.0]",14.3,1,Male,28,No.,-,None.,0,[],0,"[3, 2, 4, 4, 4, 2, 4, 3]",3.25,"""[235, 280, 470, 230, 260, 210, 285, 275]""",280.625,"[385, 337.5, 320, 380, 290, 195, 330, 305]",317.8125,[],,[],0.4062,"[0.0, 0.0, 0.25, 0.0, 0.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0625,0.0
5,0,control,4,1.28,"[9.7, 21.7]",21.9,1,Male,39,no,-,This was very fun!  Please post more of these!!,0,[],0,"[6, 6, 2, 2, 4, 4, 7, 7]",4.75,"""[395, 395, 280, 380, 215, 530, 215, 335]""",343.125,"[395, 452.5, 337.5, 322.5, 357.5, 357.5, 215, 335]",346.5625,[],,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
6,0,control,4,1.53,"[6.9, 15.2]",15.5,1,Male,41,No,-,,0,[],0,"[2, 1, 1, 1, 1, 1, 1, 1]",1.125,"""[295, 400, 370, 560, 300, 155, 230, 215]""",315.625,"[360, 372.5, 335, 410, 285, 185, 222.5, 372.5]",317.8125,[],,[],0.75,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
7,0,control,4,1.02,"[7.4, 16.4]",16.6,4,Male,21 years old,No; the instructions were very straightforward.,-,,0,[],0,"[10, 10, 10, 10, 10, 10, 10, 10]",10.0,"""[320, 375, 405, 275, 375, 505, 230, 605]""",386.25,"[320, 375, 405, 275, 375, 505, 230, 605]",386.25,[],,[],0.1667,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,1.0
8,0,control,4,1.64,"[7.5, 17.5]",18.0,1,Male,19,"No, I understood them clearly.",-,It was a fun game! I enjoy strategy games like these.,0,[],0,"[5, 3, 4, 4, 2, 1, 4, 1]",3.0,"""[270, 320, 375, 405, 180, 230, 315, 270]""",295.625,"[427.5, 312.5, 345, 390, 382.5, 185, 352.5, 285]",335.0,[],,[],0.8333,"[0.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6667,0.0
9,0,control,4,1.88,"[11.0, 23.1]",23.3,2,female,40,no,-,,0,[],0,"[3, 6, 6, 5, 6, 3, 6, 5]",5.0,"""[205, 280, 235, 370, 340, 190, 280, 225]""",265.625,"[205, 257.5, 235, 370, 325, 212.5, 280, 225]",263.75,[],,[],0.5208,"[0.3333333333333333, 0.0, 0.6666666666666666, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.3333
