pid,condition,conditionType,status,sanityFail,timeTracking,totalTime,gender,age,qConfusing,feedback,mortgagePrompt,pref0_3,pref0_6,pref6_9,pref6_12,idf0_3_hyp,idf0_6_hyp,idf6_9_hyp,idf6_12_hyp,PB3_hyp,PB6_hyp,idf0_3_exp,idf0_6_exp,idf6_9_exp,idf6_12_exp,PB3_exp,PB6_exp,numPB,MLcheatTrials,MLclicksNumber,ML_pa_mean,ML_pa_complete
0,0,no-training,3,0,"[5.1, 9.5]",9.6,Male,18,"No, there was nothing confusing.",,"{'Q0': ""I'd consider the companies that are offering these loans along with what suits my current position in life."", 'Q1': ""I'd decide by seeing which mortgage is most convenient to me given my circumstances.""}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.07692307692307693,0.05555555555555555,0.0,0.027777777777777776,1,1,0.9331277892043119,0.9531842929969364,1.0,0.9779905885979652,1,1,9,0,0,,[]
1,0,no-training,3,1,"[5.4, 11.2]",11.4,Female,72,No,,"{'Q0': ""I'd choose the one I could most easily afford in terms of the monthly payment."", 'Q1': ""right price and the rate won't change with time.""}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.0,0.2777777777777778,0.06666666666666668,0.027777777777777776,0,1,1.0,0.8491906647824764,0.9564655913861946,0.9779905885979652,0,1,6,0,0,,[]
2,0,no-training,3,0,"[5.1, 9.8]",9.9,Female,29,No,,"{'Q0': 'I would choose the rate with the lowest rate for the next 19 years ', 'Q1': 'Would prefer to pay a lower rater over time than right off the bat '}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.047619047619047616,0.023809523809523808,0.14285714285714285,0.027777777777777776,0,0,0.9564655913861946,0.9779905885979652,0.9331277892043119,0.9779905885979652,0,0,9,0,0,,[]
3,0,no-training,3,0,"[5.2, 8.5]",8.7,male,33,nothing at all,great video!,"{'Q0': 'I would choose the one that had the lowest interest rate for the 19 years', 'Q1': 'I feel that would save me the most because its the longest time frame'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,,[]
4,0,no-training,3,0,"[5.4, 9.4]",9.7,Female,24,No.,,"{'Q0': 'I would choose the mortgage loan that has the lowest interest rate.', 'Q1': 'The one with the lowest interest rate and the best chance for repayability.'}","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.2,0.16666666666666666,296.1851851854079,0.25,0,0,0.8549879733383485,0.8908987181403393,0.8549879733383485,0.924655597148662,0,1,21,0,0,,[]
5,0,no-training,3,0,"[5.7, 10.8]",10.9,Female,58,no,no,"{'Q0': 'I would have to determine which interest rate would suit my needs knowing that this is for the next 19 years', 'Q1': 'I think that the loan that I chose had the best bang for my buck'}","[1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.5555555555555556,1.1666666666666667,296.1851851854079,333.25000000018474,0,1,0.7211247851537042,0.7071067811865476,0.5,0.7071067811865476,0,1,34,0,0,,[]
6,0,no-training,3,0,"[5.4, 9.5]",9.7,Male,18,No,,"{'Q0': ""I would choose these loans based on how much I'm receiving and what the interest rate is."", 'Q1': 'I decide which one is best with knowledge of how interest rates work. I want the most money with the lowest rate.'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]",0.1111111111111111,0.05555555555555555,0.06666666666666668,0.05,1,1,0.9085602964160698,0.9531842929969364,0.9564655913861946,0.9659853980285168,1,1,13,0,0,,[]
7,0,no-training,3,1,"[5.3, 11.2]",11.4,Female,29,No,,"{'Q0': 'Would go with the lowest interest rate', 'Q1': 'The one with the lowest interest rate'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.1111111111111111,0.2777777777777778,0.3333333333333333,0.25,0,1,0.9085602964160698,0.8491906647824764,0.9085602964160698,0.924655597148662,0,1,17,0,0,,[]
8,0,no-training,3,0,"[5.1, 10.8]",11.1,Male,33,The interest payment questions were confusing and vague,Fun thought experiment ,"{'Q0': 'I would choose the most advantageous interest rate, this seems a little vague without the actual interest rates. ', 'Q1': 'Whichever has the lower interest rate'}","[1, 1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 0]",0.07692307692307693,0.011111111111111113,0.0,0.011904761904761904,1,0,0.9331277892043119,0.9893012232339632,1.0,0.9893012232339632,1,0,4,0,0,,[]
9,0,no-training,3,0,"[6.5, 24.9]",25.2,female ,42,none,good,"{'Q0': 'growth mindset', 'Q1': 'good'}","[1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.1666666666666667,296.1851851854079,333.25000000018474,0,1,0.6299605249474366,0.7071067811865476,0.6299605249474366,0.7071067811865476,0,1,34,0,0,,[]
