pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
0,0,experimental,2020-02-23 19:41:45.204572,2020-02-23 19:53:26.441751,,-,-,-,-,-,-,-,-,-,4,6,[],[],0.0,,[],0.5455,"[0.154, 0.077, 1.0, 0.667, 0.625, 0.75]","[10.0, 5.0, 0, 0, 0, 0]"
1,0,experimental,2020-02-23 18:54:58.045187,2020-02-23 18:59:15.98889,2020-02-23 19:03:04.339512,486,1,High school graduate,No,32,male,Yes,Click on the highest nodes until you find a 48. Move the monkey there.,no,0,4,"[4, 5, 5, 4, 1, 4, 6, 3, 4, 1]","[44, 43, 43, 44, 47, 44, 18, 45, 44, 47]",419.0,41.9,"[38, 45, 39, 52, 45, 48, 20, 51, 48, 53]",0.9462,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.462, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 7.0, 0, 0, 0]"
2,0,experimental,2020-02-23 18:48:57.811508,2020-02-23 18:55:18.62474,2020-02-23 19:03:33.00374,875,1,College degree,Yes,38,female,yes,Click on the top row only until you find the green 48.,,0,4,"[3, 1, 6, 6, 2, 3, 1, 4, 5, 1]","[45, 47, 18, 18, 22, 21, 47, 44, 43, 47]",352.0,35.2,"[21, 41, 16, 12, 20, 27, 47, 48, 49, 47]",0.7581,"[1.0, 1.0, 0.462, 0.462, 0.426, 0.231, 1.0, 1.0, 1.0, 1.0]","[0, 0, 7.0, 7.0, 2.691, 10.0, 0, 0, 0, 0]"
3,0,experimental,2020-02-23 18:48:22.476527,2020-02-23 18:55:29.802933,2020-02-23 19:04:36.95581,974,1,High school graduate,No,35,female,No not at all. I was very confused as to how to use the flow chart.,Try to move up the tree with the flow chart which tell you to only click if your previous answer was 48.,,2,4,"[12, 6, 0, 0, 4, 3, 3, 7, 5, 7]","[28, 38, 0, 0, 22, 1, 1, 19, 23, 21]",153.0,15.3,"[28, 42, -12, -34, 26, -19, -51, 15, 19, 29]",0.1771,"[0.462, 0.222, 0.0, 0.0, 0.124, 0.0, 0.0, 0.308, 0.235, 0.42]","[0, 2.992, 4.519, 3.269, 4.055, 3.329, 10.0, 6.0, 3.5, 2.522]"
4,0,experimental,2020-02-23 18:57:06.190456,2020-02-23 19:00:52.794445,2020-02-23 19:06:01.822841,535,1,College degree,No,-,-,-,-,,0,4,"[3, 6, 12, 12, 7, 4, 11, 11, 2, 4]","[57, 54, 24, 36, 29, 50, 27, 37, 46, 44]",404.0,40.4,"[-41, 54, 24, 36, 29, 50, 27, 37, 58, 40]",0.5885,"[0.5, 0.429, 0.538, 0.538, 0.556, 0.4, 0.462, 0.462, 1.0, 1.0]","[0, 0, 0, 0, 2.0, 0, 2.0, 2.0, 0, 0]"
5,0,experimental,2020-02-23 18:51:57.224418,2020-02-23 19:00:39.16406,2020-02-23 19:07:04.87051,907,2,College degree,No,49,male,Yes,"Once you achieve 48 at the top, there is not higher to go, so there is no need to observe more nodes",Have a great day!,0,4,"[7, 9, 12, 9, 7, 7, 7, 10, 12, 9]","[47, 45, 14, 39, 45, 53, 47, 44, 18, 35]",387.0,38.7,"[47, 45, 14, 39, 45, 53, 47, 44, 18, 35]",0.3316,"[0.25, 0.231, 0.538, 0.4, 0.25, 0.25, 0.25, 0.455, 0.538, 0.154]","[0, 4.0, 0, 0, 0, 0, 0, 0, 0, 4.0]"
6,0,experimental,2020-02-23 18:57:52.388959,2020-02-23 19:04:46.459641,2020-02-23 19:08:07.745012,615,2,College degree,No,32,Female,Not really I was still so confused. ,I would not be able to explain it,,0,4,"[3, 4, 10, 7, 7, 4, 3, 6, 3, 5]","[-3, 48, 16, 39, 13, 24, 49, 18, 41, 43]",288.0,28.8,"[-53, 50, -64, 43, 17, 26, 53, 24, 43, 41]",0.4607,"[0.0, 0.4, 0.462, 0.5, 0.462, 0.267, 0.304, 0.462, 0.75, 1.0]","[4.542, 0, 3.0, 0, 6.0, 3.493, 3.57, 7.0, 0, 0]"
7,0,experimental,2020-02-23 19:03:00.345244,2020-02-23 19:08:24.524869,2020-02-23 19:13:34.366655,634,1,High school graduate,No,37,Female,Only click on trees that had a positive 48,"Start at the top leaf, click until you find+48 then if there's more than one, click each node below the 48 to find the positive number",,0,4,"[11, 11, 11, 10, 6, 7, 12, 11, 8, 8]","[39, 39, 49, 44, 42, 49, 12, 43, 40, 34]",391.0,39.1,"[39, 39, 49, 44, 54, 51, 12, 43, 40, 34]",0.488,"[0.308, 0.417, 0.538, 0.462, 0.385, 0.462, 0.846, 0.538, 0.462, 0.462]","[2.0, 0, 2.0, 3.0, 7.0, 6.0, 0, 2.0, 5.0, 5.0]"
8,0,experimental,2020-02-23 19:06:47.213581,2020-02-23 19:10:57.738145,2020-02-23 19:13:57.847826,430,1,College degree,No,26,female,Yes,To look for the 48's which will only be at the top of the tree,,0,4,"[1, 6, 1, 6, 5, 1, 9, 2, 6, 2]","[47, 42, 47, 18, 43, 47, 11, 46, 18, 46]",365.0,36.5,"[43, 42, 59, 24, 49, 39, 15, 54, 24, 54]",0.8616,"[1.0, 1.0, 1.0, 0.462, 1.0, 1.0, 0.692, 1.0, 0.462, 1.0]","[0, 0, 0, 7.0, 0, 0, 4.0, 0, 7.0, 0]"
9,0,experimental,2020-02-23 19:00:10.126085,2020-02-23 19:08:23.259418,2020-02-23 19:14:13.942349,843,2,College degree,Yes,39,Male,Yes after a few tries,Only use reveal on limited leaf nodes as it will help understand the flow and path,,1,4,"[0, 4, 3, 1, 2, 3, 2, 1, 3, 5]","[0, 32, 55, -1, 46, 45, 46, 47, 21, 43]",334.0,33.4,"[-24, 32, 55, -35, 42, 45, 40, 53, 33, 39]",0.5983,"[0.0, 0.154, 0.077, 0.252, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0]","[4.44, 9.0, 10.0, 2.972, 0, 0, 0, 0, 3.004, 0]"
10,0,experimental,2020-02-23 18:43:47.431302,2020-02-23 18:50:52.003859,2020-02-23 19:02:13.918018,1106,1,College degree,No,65,female,Yes,You follow a flow chart. You start at the top of the puzzle and then answer the questions and perform the actions depending on your answer to the current question.,none,0,4,"[5, 8, 3, 1, 5, 6, 7, 4, 4, 2]","[15, 14, 27, 47, 25, 42, 47, 52, 44, 46]",359.0,35.9,"[11, 14, 27, 41, 25, 50, 47, 52, 32, 38]",0.5078,"[0.376, 0.273, 0.144, 1.0, 0.231, 0.857, 0.75, 0.265, 1.0, 0.182]","[2.985, 2.989, 3.963, 0, 8.0, 0, 0, 3.547, 0, 3.487]"
11,0,experimental,2020-02-23 19:02:42.505521,2020-02-23 19:08:47.466325,2020-02-23 19:14:31.51493,709,1,College degree,No,43,female,I think so,only click on the leaves and only if you haven't found a 48.,,0,4,"[3, 6, 4, 2, 1, 2, 1, 2, 2, 4]","[-3, 18, 44, 46, 47, 22, 47, -2, 22, 20]",261.0,26.1,"[-23, 16, 40, 56, 41, 28, 49, -62, 14, 22]",0.6249,"[0.231, 0.462, 1.0, 1.0, 1.0, 0.154, 1.0, 0.361, 0.426, 0.615]","[10.0, 7.0, 0, 0, 0, 11.0, 0, 3.544, 2.691, 2.506]"
12,0,experimental,2020-02-23 18:56:39.685482,2020-02-23 19:10:16.865335,2020-02-23 19:14:55.549326,1095,2,College degree,No,31,male,Yes,follow the flow chart to find the way through the tree.,,0,4,"[3, 1, 4, 1, 1, 1, 4, 10, 1, 1]","[45, 47, 44, 47, 47, 47, 44, 12, 47, 47]",427.0,42.7,"[41, 49, 50, 55, 47, 43, 34, 12, 41, 49]",0.9615,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.615, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 3.0, 0, 0]"
