pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
0,0,flowchart,2020-09-28 22:05:38.793401,2020-09-28 22:18:55.629404,,20.2,1,College degree,Yes,51,Female,"Yes,",Try to click on less node as possible. ,,0,6,"[5, 5, 9, 5, 9, 4, 9, 3, 7, 7]","[21, 17, 9, 39, 45, 12, 39, -27, 41, 25]",221.0,22.1,"[13, -23, 9, 41, 45, 8, 25, -23, 41, 25]",0.6001,"[0.667, 0.667, 0.4, 0.667, 0.4, 0.8, 0.4, 1.0, 0.5, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,0,flowchart,2020-09-28 22:09:48.146666,2020-09-28 22:17:34.730572,2020-09-28 22:22:33.939414,12.2,1,College degree,No,49,Male,Yes,"The first thing you want to do is click on all of the root circles, the circles across the bottom row, in order to choose the best start to your path.",,0,4,"[5, 8, 6, 7, 6, 7, 5, 5, 5, 5]","[41, 50, 42, 41, 26, -35, 45, 41, 45, -27]",269.0,26.9,"[37, 50, 42, 41, 26, -35, 37, 45, 37, -19]",0.5921,"[0.667, 0.444, 0.571, 0.5, 0.571, 0.5, 0.667, 0.667, 0.667, 0.667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,0,flowchart,2020-09-28 22:13:58.10687,2020-09-28 22:17:57.334657,2020-09-28 22:22:04.326907,7.6,1,High school graduate,No,45,female,yes,It told you to go to the next if it wasn't already showing the amount ,this was interesting but the flowchart was the same no matter which path you chose. so the only choice was actually the very first move and the final move,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[30, 30, 42, 18, 36, 18, -46, 24, -30, 22]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
3,0,flowchart,2020-09-28 22:08:39.086353,2020-09-28 22:18:26.84645,2020-09-28 22:24:51.343361,15.7,1,College degree,Yes,54,male,"yes, i could preview the paths but at a cost so I needed to minimize my use of the preview and settle for the highest value path based on previewing root level first","Click each root node until you reveal a green positive high value, then preview level 2 and 3 nodes for that path, this should result in providing the highest path to choose for the monkey.",,0,4,"[9, 7, 6, 4, 6, 6, 3, 6, 4, 6]","[37, 45, 24, 48, 14, 32, 53, 14, 38, 30]",335.0,33.5,"[37, 43, 24, 44, -62, 32, 51, 14, 38, 30]",0.4398,"[0.4, 0.5, 0.571, 0.333, 0.571, 0.571, 0.167, 0.571, 0.143, 0.571]","[0, 0, 0, 2.0, 0, 0, 3.0, 0, 3.0, 0]"
4,0,flowchart,2020-09-28 22:16:08.3141,2020-09-28 22:20:01.093047,2020-09-28 22:23:33.147371,7.2,1,College degree,No,42,Male,No,I wouldn't be able to as it made no sense to me.,"Please consider applying a generous bonus to my payment. My family and I have suffered severe reductions in income as a direct result of the government's incompetent if not criminal response to the pandemic. Additionally, we have not yet received their promised economic stimulus check or annual tax refund either. Thank you very much!",10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[54, -58, -22, 36, 24, 48, 36, 18, 12, 26]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
5,0,flowchart,2020-09-28 22:07:12.671314,2020-09-28 22:20:02.361104,2020-09-28 22:24:12.82336,16.9,7,College degree,Yes,-,-,-,-,,0,4,"[10, 6, 6, 8, 8, 8, 6, 9, 6, 6]","[-46, 14, 20, 50, 38, 22, 34, 45, 16, 16]",209.0,20.9,"[-46, 14, 20, 50, 38, 22, 32, 45, 16, 16]",0.4951,"[0.364, 0.571, 0.571, 0.444, 0.444, 0.444, 0.571, 0.4, 0.571, 0.571]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,0,flowchart,2020-09-28 22:17:04.746388,2020-09-28 22:22:22.451352,2020-09-28 22:25:54.183501,4.9,1,College degree,No,30,Male,Yes,"click on the nodes closest to the monkey to know which step to take, then I click on the uppermost branch to tell which fork to take in the end",,0,4,"[3, 3, 7, 5, 5, 5, 5, 4, 5, 5]","[45, 21, 41, 17, 17, 21, 41, 0, 41, 17]",261.0,26.1,"[55, 23, 41, 13, 21, -23, 33, -52, 37, 25]",0.6835,"[1.0, 1.0, 0.5, 0.667, 0.667, 0.667, 0.667, 0.333, 0.667, 0.667]","[0, 0, 0, 0, 0, 0, 0, 2.0, 0, 0]"
7,0,flowchart,2020-09-28 22:19:35.939569,2020-09-28 22:22:53.154871,2020-09-28 22:26:42.14743,6.9,1,High school graduate,No,28,male,yes,find best root and observe optimal start path,,0,4,"[6, 7, 5, 6, 6, 6, 6, 9, 6, 5]","[42, 31, 17, 16, 40, 32, 14, -31, 14, 41]",216.0,21.6,"[42, 31, 17, 16, 40, 32, 14, -31, 14, 41]",0.5279,"[0.571, 0.5, 0.667, 0.571, 0.571, 0.571, 0.571, 0.4, 0.571, 0.286]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0]"
8,0,flowchart,2020-09-28 22:15:22.002481,2020-09-28 22:22:58.908222,2020-09-28 22:26:49.694126,11.1,2,College degree,No,64,female,Not really.,click on the unobserved root,,8,4,"[3, 3, 0, 0, 0, 0, 0, 0, 0, 0]","[45, -51, 0, 0, 0, 0, 0, 0, 0, 0]",-6.0,-0.6,"[37, -47, 46, 14, -42, 44, 58, 14, 32, -18]",0.2,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
9,0,flowchart,2020-09-28 22:01:05.745433,2020-09-28 22:16:18.73218,2020-09-28 22:18:40.205258,17.3,9,High school graduate,Yes,25,Male,Yes.,Click on the uncovered nodes to find the best path.,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-26, 16, 48, -58, -56, -46, 40, 44, 42, 14]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
